iter	Passed	Remaining
0	55	55573
1	56	28006
2	56	18805
3	56	14188
4	57	11414
5	57	9563
6	58	8247
7	58	7257
8	58	6487
9	59	5870
10	59	5361
11	60	4942
12	60	4583
13	60	4276
14	61	4012
15	61	3778
16	61	3578
17	62	3396
18	62	3233
19	63	3089
20	63	2954
21	63	2833
22	64	2723
23	64	2620
24	64	2529
25	65	2443
26	65	2361
27	65	2287
28	66	2222
29	66	2157
30	67	2097
31	67	2040
32	67	1990
33	68	1941
34	68	1893
35	69	1850
36	69	1806
37	69	1766
38	70	1729
39	70	1692
40	70	1657
41	71	1625
42	71	1593
43	71	1562
44	72	1533
45	72	1506
46	72	1479
47	73	1453
48	73	1429
49	74	1406
50	74	1384
51	74	1362
52	75	1341
53	75	1321
54	75	1302
55	76	1284
56	76	1266
57	76	1248
58	77	1231
59	77	1215
60	77	1200
61	78	1185
62	78	1170
63	79	1157
64	79	1144
65	79	1130
66	80	1116
67	80	1101
68	80	1089
69	81	1078
70	81	1066
71	81	1055
72	82	1045
73	82	1034
74	83	1024
75	83	1016
76	83	1006
77	84	996
78	84	986
79	84	977
80	85	968
81	85	959
82	86	950
83	86	942
84	86	933
85	87	925
86	87	915
87	87	907
88	87	900
89	88	892
90	88	885
91	88	878
92	89	872
93	89	865
94	90	859
95	90	852
96	90	846
97	91	839
98	91	834
99	92	828
100	92	822
101	92	815
102	93	811
103	93	805
104	93	800
105	94	794
106	94	789
107	94	784
108	95	779
109	95	774
110	95	768
111	96	763
112	96	759
113	97	754
114	97	749
115	97	744
116	98	739
117	98	734
118	98	730
119	99	726
120	99	722
121	99	718
122	99	712
123	100	708
124	100	705
125	101	701
126	101	697
127	101	692
128	102	689
129	102	685
130	102	682
131	103	678
132	103	674
133	103	671
134	104	667
135	104	664
136	104	661
137	105	657
138	105	653
139	105	650
140	106	647
141	106	644
142	107	641
143	107	638
144	107	634
145	108	632
146	108	629
147	108	626
148	109	623
149	109	621
150	109	618
151	110	615
152	110	612
153	111	610
154	111	607
155	111	604
156	112	602
157	112	599
158	112	596
159	113	594
160	113	591
161	113	589
162	114	587
163	114	585
164	115	582
165	115	580
166	115	577
167	116	575
168	116	573
169	116	571
170	117	568
171	117	566
172	118	564
173	118	562
174	118	559
175	119	558
176	119	556
177	120	554
178	120	552
179	120	550
180	120	546
181	121	545
182	121	543
183	122	541
184	122	539
185	122	537
186	123	535
187	123	533
188	123	531
189	124	529
190	124	527
191	124	525
192	125	523
193	125	521
194	125	519
195	126	517
196	126	516
197	126	514
198	127	512
199	127	510
200	128	509
201	128	507
202	128	505
203	129	504
204	129	502
205	129	500
206	130	499
207	130	497
208	131	496
209	131	494
210	131	493
211	132	492
212	132	490
213	133	488
214	133	487
215	133	486
216	134	484
217	134	483
218	135	481
219	135	480
220	135	479
221	136	478
222	136	476
223	137	475
224	137	473
225	137	472
226	138	470
227	138	469
228	138	467
229	139	466
230	139	464
231	139	463
232	140	462
233	140	460
234	141	459
235	141	458
236	141	456
237	142	455
238	142	454
239	143	453
240	143	451
241	143	450
242	144	449
243	144	447
244	144	446
245	145	445
246	145	443
247	145	442
248	146	441
249	146	439
250	146	438
251	147	437
