iter	Passed	Remaining
0	0	566
1	1	530
2	1	502
3	2	499
4	2	487
5	2	487
6	3	484
7	3	477
8	4	476
9	4	473
10	5	474
11	5	468
12	6	468
13	6	464
14	7	465
15	7	460
16	7	452
17	8	451
18	8	446
19	9	446
20	9	439
21	9	438
22	10	436
23	10	431
24	10	427
25	11	425
26	11	420
27	11	415
28	12	411
29	12	409
30	13	407
31	13	404
32	13	402
33	14	399
34	14	397
35	14	394
36	15	391
37	15	389
38	15	388
39	16	387
40	16	385
41	16	384
42	17	382
43	17	381
44	17	380
45	18	380
46	18	379
47	19	377
48	19	376
49	19	375
50	20	374
51	20	372
52	20	371
53	21	372
54	21	371
55	22	371
56	22	370
57	22	370
58	23	369
59	23	368
60	23	367
61	24	365
62	24	365
63	24	364
64	25	362
65	25	361
66	25	360
67	26	359
68	26	359
69	26	357
70	27	358
71	27	357
72	28	355
73	28	355
74	28	354
75	29	353
76	29	352
77	29	351
78	30	351
79	30	350
80	30	350
81	31	348
82	31	346
83	31	346
84	32	346
85	32	345
86	32	344
87	33	343
88	33	342
89	33	342
90	34	341
91	34	341
92	34	340
93	35	339
94	35	338
95	35	338
96	36	337
97	36	336
98	36	336
99	37	335
100	37	334
101	37	333
102	38	333
103	38	332
104	39	332
105	39	332
106	39	331
107	40	331
108	40	330
109	40	330
110	41	330
111	41	329
112	41	329
113	42	328
114	42	328
115	42	327
116	43	326
117	43	325
118	43	325
119	44	324
120	44	324
121	44	322
122	45	322
123	45	321
124	45	321
125	46	320
126	46	319
127	46	319
128	47	318
129	47	318
130	47	317
131	48	316
132	48	316
133	49	316
134	49	317
135	49	316
136	50	316
137	50	316
138	50	315
139	51	315
140	51	315
141	51	314
142	52	313
143	52	314
144	53	313
145	53	312
146	53	312
147	54	311
148	54	311
149	54	311
150	55	310
151	55	310
152	56	310
153	56	309
154	56	309
155	57	308
156	57	308
157	57	307
158	58	307
159	58	306
160	58	306
161	59	305
162	59	305
163	59	305
164	60	305
165	60	304
166	61	304
167	61	304
168	61	304
169	62	303
170	62	303
171	62	302
172	63	302
173	63	302
174	63	301
175	64	301
176	64	300
177	64	300
178	65	299
179	65	299
180	66	299
181	66	299
182	66	298
183	67	298
184	67	298
185	68	297
186	68	297
187	68	296
188	69	296
189	69	296
190	69	295
191	70	295
192	70	294
193	70	294
194	71	293
195	71	293
196	71	293
197	72	292
198	72	292
199	73	292
200	73	291
201	73	291
202	74	290
203	74	290
204	74	290
205	75	289
206	75	289
207	76	289
208	76	289
209	76	288
210	77	288
211	77	287
212	77	287
213	78	287
214	78	286
215	78	286
216	79	285
217	79	285
218	79	285
219	80	284
220	80	284
221	80	283
222	81	283
223	81	283
224	82	282
225	82	282
226	82	281
227	83	281
228	83	280
229	83	280
230	84	279
231	84	279
232	84	279
233	85	278
234	85	278
235	85	277
236	86	277
237	86	276
238	86	276
239	87	275
240	87	275
241	87	274
242	88	274
243	88	274
244	88	273
245	89	273
246	89	272
247	89	272
248	90	271
249	90	271
250	90	271
251	91	270
252	91	270
253	91	269
254	92	269
255	92	268
256	93	268
257	93	268
258	93	268
259	94	267
260	94	267
261	94	266
262	95	266
263	95	266
264	95	265
265	96	265
266	96	264
267	96	264
268	97	264
269	97	263
270	97	263
271	98	263
272	98	262
273	98	262
274	99	261
275	99	261
276	100	261
277	100	260
278	100	260
279	101	260
280	101	259
281	101	259
282	102	258
283	102	258
284	102	258
285	103	257
286	103	257
287	103	257
288	104	256
289	104	256
290	105	255
291	105	255
292	105	255
293	106	254
294	106	254
295	106	254
296	107	253
297	107	253
298	107	253
299	108	252
300	108	252
301	109	251
302	109	251
303	109	251
304	110	250
305	110	250
306	110	249
307	111	249
308	111	249
309	111	248
310	112	248
311	112	247
312	112	247
313	113	247
314	113	246
315	113	246
316	114	246
317	114	246
318	115	245
319	115	245
320	115	244
321	116	244
322	116	244
323	116	243
324	117	243
325	117	242
326	117	242
327	118	242
328	118	241
329	118	241
330	119	240
331	119	240
332	119	240
333	120	239
334	120	239
335	121	239
336	121	239
337	121	238
338	122	238
339	122	237
340	122	237
341	123	237
342	123	236
343	124	236
344	124	236
345	124	236
346	125	235
347	125	235
348	125	235
349	126	234
350	126	234
351	127	233
352	127	233
353	127	233
354	128	233
355	128	232
356	129	232
357	129	231
358	129	231
359	129	231
360	130	230
361	130	230
362	131	230
363	131	229
364	131	229
365	132	229
366	132	228
367	133	228
368	133	228
369	133	227
370	134	227
371	134	227
372	134	226
373	135	226
374	135	226
375	135	225
376	136	225
377	136	224
378	137	224
379	137	224
380	137	223
381	138	223
382	138	223
383	138	222
384	139	222
385	139	222
386	140	221
387	140	221
388	140	221
389	141	220
390	141	220
391	141	220
392	142	219
393	142	219
394	143	219
395	143	218
396	143	218
397	144	218
398	144	217
399	144	217
400	145	217
401	145	216
402	146	216
403	146	215
404	146	215
405	147	215
406	147	214
407	147	214
408	148	214
409	148	213
410	148	213
411	149	213
412	149	212
413	150	212
414	150	211
415	150	211
416	151	211
417	151	210
418	151	210
419	152	210
420	152	209
421	153	209
422	153	209
423	153	208
424	154	208
425	154	208
426	154	207
427	155	207
428	155	207
429	155	206
430	156	206
431	156	206
432	157	205
433	157	205
434	157	205
435	158	204
436	158	204
437	158	203
438	159	203
439	159	203
440	160	202
441	160	202
442	160	202
443	161	201
444	161	202
445	162	202
446	163	202
447	163	202
448	164	201
449	165	202
450	166	202
451	167	202
452	168	203
453	168	203
454	169	203
455	170	203
456	171	203
457	171	203
458	172	203
459	173	203
460	173	203
461	174	203
462	175	203
463	175	203
464	176	202
465	176	202
466	177	202
467	178	202
468	178	202
469	179	202
470	180	202
471	180	202
472	181	202
473	182	201
474	182	201
475	183	201
476	184	201
477	184	201
478	185	201
479	186	201
480	186	201
481	187	201
482	187	201
483	188	200
484	189	200
485	189	200
486	190	200
487	191	200
488	191	200
489	192	200
490	193	200
491	193	200
492	194	199
493	194	199
494	195	199
495	196	199
496	196	198
497	197	198
498	197	198
499	198	198
500	198	198
501	199	198
502	200	198
503	201	197
504	201	197
505	202	197
506	202	197
507	203	197
508	203	196
509	204	196
510	204	196
511	205	195
512	205	195
513	206	194
514	206	194
515	207	194
516	207	194
517	208	193
518	208	193
519	209	193
520	209	192
521	210	192
522	210	191
523	211	191
524	211	191
525	212	191
526	212	190
527	213	190
528	213	190
529	214	190
530	214	189
531	215	189
532	215	188
533	216	188
534	216	188
535	216	187
536	217	187
537	217	186
538	217	186
539	218	185
540	218	185
541	219	185
542	219	184
543	219	184
544	220	183
545	220	183
546	221	183
547	221	182
548	222	182
549	222	182
550	223	181
551	223	181
552	224	181
553	224	180
554	225	180
555	225	180
556	226	179
557	226	179
558	227	179
559	227	179
560	228	178
561	229	178
562	229	178
563	230	178
564	230	177
565	231	177
566	231	176
567	231	176
568	232	175
569	232	175
570	232	174
571	233	174
572	233	173
573	233	173
574	234	173
575	234	172
576	235	172
577	235	171
578	236	171
579	236	171
580	236	170
581	237	170
582	237	170
583	238	169
584	238	169
585	238	168
586	239	168
587	239	168
588	240	167
589	240	167
590	241	166
591	241	166
592	241	166
593	242	165
594	242	165
595	243	164
596	243	164
597	243	163
598	244	163
599	244	163
600	245	162
601	245	162
602	245	161
603	246	161
604	246	161
605	247	160
606	247	160
607	247	159
608	248	159
609	248	159
610	249	158
611	249	158
612	250	157
613	250	157
614	250	157
615	251	156
616	251	156
617	252	155
618	252	155
619	252	154
620	253	154
621	253	154
622	253	153
623	254	153
624	254	152
625	255	152
626	255	152
627	256	151
628	256	151
629	256	150
630	257	150
631	257	150
632	258	149
633	258	149
634	259	148
635	259	148
636	259	148
637	260	147
638	260	147
639	261	146
640	261	146
641	262	146
642	262	145
643	262	145
644	263	144
645	263	144
646	264	144
647	264	143
648	265	143
649	265	142
650	265	142
651	266	142
652	266	141
653	266	141
654	267	140
655	267	140
656	268	139
657	268	139
658	268	139
659	269	138
660	269	138
661	270	137
662	270	137
663	270	137
664	271	136
665	271	136
666	272	135
667	272	135
668	273	135
669	273	134
670	273	134
671	274	133
672	274	133
673	274	132
674	275	132
675	275	132
676	276	131
677	276	131
678	277	130
679	277	130
680	277	130
681	278	129
682	278	129
683	279	128
684	279	128
685	280	128
686	280	127
687	281	127
688	281	127
689	282	126
690	282	126
691	282	125
692	283	125
693	283	125
694	284	124
695	284	124
696	285	124
697	285	123
698	286	123
699	286	122
700	286	122
701	287	121
702	287	121
703	288	121
704	288	120
705	289	120
706	289	119
707	289	119
708	290	119
709	290	118
710	291	118
711	291	117
712	292	117
713	292	117
714	293	116
715	293	116
716	294	116
717	294	115
718	294	115
719	295	114
720	295	114
721	296	114
722	296	113
723	297	113
724	297	112
725	298	112
726	298	112
727	298	111
728	299	111
729	299	110
730	300	110
731	300	110
732	301	109
733	301	109
734	302	108
735	302	108
736	302	107
737	302	107
738	303	107
739	303	106
740	303	106
741	304	105
742	304	105
743	304	104
744	305	104
745	305	104
746	306	103
747	306	103
748	306	102
749	307	102
750	307	102
751	308	101
752	308	101
753	308	100
754	308	100
755	309	99
756	309	99
757	309	98
758	310	98
759	310	98
760	310	97
761	311	97
762	311	96
763	311	96
764	311	95
765	312	95
766	312	94
767	312	94
768	313	94
769	313	93
770	314	93
771	314	92
772	315	92
773	315	92
774	315	91
775	316	91
776	316	90
777	316	90
778	317	89
779	317	89
780	317	89
781	318	88
782	318	88
783	318	87
784	318	87
785	319	86
786	319	86
787	319	86
788	320	85
789	320	85
790	321	84
791	321	84
792	321	84
793	322	83
794	322	83
795	323	82
796	323	82
797	323	81
798	324	81
799	324	81
800	324	80
801	325	80
802	325	79
803	325	79
804	326	79
805	326	78
806	326	78
807	327	77
808	327	77
809	327	76
810	327	76
811	328	75
812	328	75
813	328	75
814	329	74
815	329	74
816	329	73
817	330	73
818	330	73
819	331	72
820	331	72
821	331	71
822	332	71
823	332	70
824	332	70
825	332	70
826	333	69
827	333	69
828	333	68
829	334	68
830	334	67
831	334	67
832	334	67
833	335	66
834	335	66
835	336	65
836	336	65
837	336	65
838	337	64
839	337	64
840	338	63
841	338	63
842	338	63
843	338	62
844	339	62
845	339	61
846	339	61
847	340	60
848	340	60
849	341	60
850	341	59
851	341	59
852	342	58
853	342	58
854	343	58
855	343	57
856	343	57
857	343	56
858	344	56
859	344	56
860	344	55
861	345	55
862	345	54
863	345	54
864	345	53
865	346	53
866	346	53
867	346	52
868	347	52
869	347	51
870	347	51
871	347	51
872	348	50
873	348	50
874	348	49
875	349	49
876	349	49
877	349	48
878	350	48
879	350	47
880	350	47
881	350	46
882	351	46
883	351	46
884	351	45
885	352	45
886	352	44
887	352	44
888	353	44
889	353	43
890	353	43
891	354	42
892	354	42
893	355	42
894	355	41
895	355	41
896	356	40
897	356	40
898	356	40
899	357	39
900	357	39
901	358	38
902	358	38
903	358	38
904	359	37
905	359	37
906	360	36
907	360	36
908	360	36
909	361	35
910	361	35
911	361	34
912	361	34
913	362	34
914	362	33
915	362	33
916	363	32
917	363	32
918	363	32
919	363	31
920	364	31
921	364	30
922	365	30
923	365	30
924	365	29
925	366	29
926	366	28
927	366	28
928	367	28
929	367	27
930	367	27
931	368	26
932	368	26
933	368	26
934	369	25
935	369	25
936	370	24
937	370	24
938	370	24
939	371	23
940	371	23
941	371	22
942	372	22
943	372	22
944	372	21
945	372	21
946	373	20
947	373	20
948	373	20
949	374	19
950	374	19
951	374	18
952	375	18
953	375	18
954	375	17
955	375	17
956	376	16
957	376	16
958	376	16
959	377	15
960	377	15
961	377	14
962	377	14
963	378	14
964	378	13
965	379	13
966	379	12
967	380	12
968	380	12
969	380	11
970	381	11
971	381	10
972	381	10
973	381	10
974	382	9
975	382	9
976	382	9
977	383	8
978	383	8
979	383	7
980	383	7
981	384	7
982	384	6
983	385	6
984	385	5
985	385	5
986	386	5
987	386	4
988	387	4
989	387	3
990	387	3
991	388	3
992	388	2
993	388	2
994	389	1
995	389	1
996	389	1
997	390	0
998	390	0
999	390	0
